ContactID,AccountID,FirstName,LastName,FullName,Department,JobTitle,Email,Phone,PrimaryContact,Status
CON000001,ACC00001,Sarah,Davis,Sarah Davis,Procurement,Procurement Manager,sarah.davis@primetechnologies1.com,9249827706,Yes,Active
CON000002,ACC00002,Ava,Johnson,Ava Johnson,Operations,Operations Manager,ava.johnson@globalgroup2.com,9200604502,Yes,Active
CON000003,ACC00003,Lucas,Smith,Lucas Smith,Operations,Operations Manager,lucas.smith@cloudgroup3.com,9868820204,Yes,Active
CON000004,ACC00003,Henry,Thompson,Henry Thompson,Procurement,Purchase Executive,henry.thompson@cloudgroup3.com,9336696312,No,Active
CON000005,ACC00004,William,Jackson,William Jackson,IT,System Administrator,william.jackson@brightgroup4.com,9398362082,No,Active
CON000006,ACC00004,Daniel,Taylor,Daniel Taylor,Finance,Finance Manager,daniel.taylor@brightgroup4.com,9199585092,No,Active
CON000007,ACC00004,James,Anderson,James Anderson,Sales,Sales Director,james.anderson@brightgroup4.com,9748245888,Yes,Active
CON000008,ACC00004,Michael,White,Michael White,HR,HR Manager,michael.white@brightgroup4.com,9506448196,No,Active
CON000009,ACC00005,Lucas,Anderson,Lucas Anderson,Procurement,Procurement Manager,lucas.anderson@nextsoftware5.com,9856528252,Yes,Active
CON000010,ACC00006,Joseph,Moore,Joseph Moore,Procurement,Procurement Manager,joseph.moore@dynamicgroup6.com,9349957310,Yes,Active
CON000011,ACC00007,Mia,Anderson,Mia Anderson,HR,HR Manager,mia.anderson@globalconsulting7.com,9497478786,Yes,Active
CON000012,ACC00008,Sarah,Williams,Sarah Williams,Procurement,Procurement Manager,sarah.williams@bluesoftware8.com,9673528321,Yes,Active
CON000013,ACC00008,Joseph,Garcia,Joseph Garcia,Procurement,Purchase Executive,joseph.garcia@bluesoftware8.com,9507437181,No,Active
CON000014,ACC00008,Benjamin,Thompson,Benjamin Thompson,HR,HR Manager,benjamin.thompson@bluesoftware8.com,9835098955,No,Active
CON000015,ACC00009,Michael,Taylor,Michael Taylor,Finance,Accountant,michael.taylor@brightcorporation9.com,9387484583,Yes,Active
CON000016,ACC00009,Daniel,Clark,Daniel Clark,IT,Software Manager,daniel.clark@brightcorporation9.com,9437882805,No,Active
CON000017,ACC00009,Benjamin,Harris,Benjamin Harris,Finance,Accountant,benjamin.harris@brightcorporation9.com,9790256940,No,Active
